,time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,cf
7059,20141022:0300,0.0,0.0,0.0,0.0,0.0,7.45,5.79,0.0,0.0
7060,20141022:0400,0.0,0.0,0.0,0.0,0.0,7.53,5.66,0.0,0.0
7061,20141022:0500,0.0,0.0,0.0,0.0,0.0,7.48,5.52,0.0,0.0
7062,20141022:0600,0.0,0.0,0.0,0.0,0.0,7.19,5.52,0.0,0.0
7063,20141022:0700,0.0,0.0,0.0,0.0,0.0,6.98,5.59,0.0,0.0
7064,20141022:0800,0.0,0.0,0.0,0.0,0.0,6.85,5.52,0.0,0.0
7065,20141022:0900,0.0,0.0,0.0,0.0,0.0,6.55,5.45,0.0,0.0
7066,20141022:1000,0.0,0.0,0.0,0.0,0.0,6.15,5.52,0.0,0.0
7067,20141022:1100,0.0,0.0,0.0,0.0,0.0,5.96,5.45,0.0,0.0
7068,20141022:1200,21.26,22.79,15.84,0.37,2.77,5.75,5.31,0.0,0.02126
7069,20141022:1300,301.36,218.92,88.33,3.02,12.7,5.84,5.24,0.0,0.30136
7070,20141022:1400,101.66,1.78,112.33,2.19,21.56,6.67,5.52,0.0,0.10166
7071,20141022:1500,154.28,10.09,154.48,3.07,28.75,7.8,5.03,0.0,0.15428
7072,20141022:1600,860.97,717.71,153.68,9.69,33.56,9.09,4.34,0.0,0.86097
7073,20141022:1700,887.6,755.4,157.63,10.22,35.31,10.24,3.66,0.0,0.8876000000000001
7074,20141022:1800,842.31,716.9,154.64,9.72,33.69,11.31,3.17,0.0,0.8423099999999999
7075,20141022:1900,736.88,605.89,144.67,8.26,29.0,11.58,3.79,0.0,0.73688
7076,20141022:2000,550.41,434.09,126.13,5.98,21.89,12.22,3.31,0.0,0.55041
7077,20141022:2100,303.71,230.81,91.15,3.21,13.09,12.08,1.86,0.0,0.30371
7078,20141022:2200,0.0,0.0,0.0,0.0,0.0,11.87,2.07,0.0,0.0
7079,20141022:2300,0.0,0.0,0.0,0.0,0.0,11.49,2.69,0.0,0.0
7080,20141023:0000,0.0,0.0,0.0,0.0,0.0,11.14,3.24,0.0,0.0
7081,20141023:0100,0.0,0.0,0.0,0.0,0.0,10.78,3.59,0.0,0.0
7082,20141023:0200,0.0,0.0,0.0,0.0,0.0,10.42,3.59,0.0,0.0
7083,20141023:0300,0.0,0.0,0.0,0.0,0.0,10.07,3.45,0.0,0.0
7084,20141023:0400,0.0,0.0,0.0,0.0,0.0,9.79,3.52,0.0,0.0
7085,20141023:0500,0.0,0.0,0.0,0.0,0.0,9.22,3.79,0.0,0.0
7086,20141023:0600,0.0,0.0,0.0,0.0,0.0,8.85,4.14,0.0,0.0
7087,20141023:0700,0.0,0.0,0.0,0.0,0.0,7.76,4.48,0.0,0.0
7088,20141023:0800,0.0,0.0,0.0,0.0,0.0,7.39,4.76,0.0,0.0
7089,20141023:0900,0.0,0.0,0.0,0.0,0.0,7.26,4.97,0.0,0.0
7090,20141023:1000,0.0,0.0,0.0,0.0,0.0,7.04,5.1,0.0,0.0
7091,20141023:1100,0.0,0.0,0.0,0.0,0.0,6.86,5.1,0.0,0.0
7092,20141023:1200,18.08,19.83,14.72,0.34,2.54,6.72,4.97,0.0,0.01808
7093,20141023:1300,299.18,218.52,89.14,2.98,12.45,7.32,4.69,0.0,0.29918
7094,20141023:1400,563.26,435.72,124.09,5.84,21.28,8.99,4.83,0.0,0.56326
7095,20141023:1500,748.8,611.86,143.88,8.19,28.44,10.96,4.69,0.0,0.7487999999999999
7096,20141023:1600,852.98,724.22,154.89,9.7,33.22,12.7,4.34,0.0,0.8529800000000001
7097,20141023:1700,882.54,761.94,158.83,10.23,34.95,13.99,4.14,0.0,0.88254
7098,20141023:1800,844.22,723.42,155.88,9.74,33.34,14.76,4.28,0.0,0.8442200000000001
7099,20141023:1900,736.21,612.34,145.99,8.28,28.66,14.87,4.48,0.0,0.73621
7100,20141023:2000,557.39,442.16,126.4,6.0,21.58,14.71,5.1,0.0,0.5573899999999999
7101,20141023:2100,307.62,232.87,92.42,3.19,12.8,14.04,5.03,0.0,0.30762
7102,20141023:2200,0.0,0.0,0.0,0.0,0.0,12.81,4.76,0.0,0.0
7103,20141023:2300,0.0,0.0,0.0,0.0,0.0,11.3,4.69,0.0,0.0
7104,20141024:0000,0.0,0.0,0.0,0.0,0.0,10.13,4.97,0.0,0.0
7105,20141024:0100,0.0,0.0,0.0,0.0,0.0,9.2,5.17,0.0,0.0
7106,20141024:0200,0.0,0.0,0.0,0.0,0.0,8.6,4.9,0.0,0.0
7107,20141024:0300,0.0,0.0,0.0,0.0,0.0,8.15,4.55,0.0,0.0
7108,20141024:0400,0.0,0.0,0.0,0.0,0.0,7.78,4.41,0.0,0.0
7109,20141024:0500,0.0,0.0,0.0,0.0,0.0,7.54,4.48,0.0,0.0
7110,20141024:0600,0.0,0.0,0.0,0.0,0.0,7.27,4.55,0.0,0.0
7111,20141024:0700,0.0,0.0,0.0,0.0,0.0,7.0,4.62,0.0,0.0
7112,20141024:0800,0.0,0.0,0.0,0.0,0.0,6.71,4.55,0.0,0.0
7113,20141024:0900,0.0,0.0,0.0,0.0,0.0,6.44,4.34,0.0,0.0
7114,20141024:1000,0.0,0.0,0.0,0.0,0.0,6.21,4.21,0.0,0.0
7115,20141024:1100,0.0,0.0,0.0,0.0,0.0,5.95,4.21,0.0,0.0
7116,20141024:1200,17.82,21.74,12.87,0.3,2.31,5.8,4.0,0.0,0.01782
7117,20141024:1300,301.69,220.25,88.9,2.95,12.2,6.17,4.14,0.0,0.30169
7118,20141024:1400,568.3,438.4,125.21,5.82,21.0,7.33,3.86,0.0,0.5682999999999999
7119,20141024:1500,753.6,614.94,144.94,8.17,28.13,8.71,3.52,0.0,0.7536
7120,20141024:1600,858.55,727.48,155.91,9.69,32.88,10.12,3.31,0.0,0.8585499999999999
7121,20141024:1700,788.68,630.31,178.69,9.14,34.6,11.28,3.38,0.0,0.7886799999999999
7122,20141024:1800,757.6,612.48,165.06,8.72,33.0,12.22,3.45,0.0,0.7576
7123,20141024:1900,640.24,498.48,155.14,7.27,28.33,13.17,3.52,0.0,0.64024
7124,20141024:2000,549.17,437.82,125.54,5.89,21.27,13.54,3.17,0.0,0.5491699999999999
7125,20141024:2100,299.76,228.76,90.13,3.09,12.51,13.46,2.9,0.0,0.29975999999999997
7126,20141024:2200,0.0,0.0,0.0,0.0,0.0,12.55,2.76,0.0,0.0
7127,20141024:2300,0.0,0.0,0.0,0.0,0.0,11.36,2.62,0.0,0.0
7128,20141025:0000,0.0,0.0,0.0,0.0,0.0,10.26,2.69,0.0,0.0
7129,20141025:0100,0.0,0.0,0.0,0.0,0.0,9.55,2.55,0.0,0.0
7130,20141025:0200,0.0,0.0,0.0,0.0,0.0,8.94,2.14,0.0,0.0
7131,20141025:0300,0.0,0.0,0.0,0.0,0.0,8.44,1.93,0.0,0.0
7132,20141025:0400,0.0,0.0,0.0,0.0,0.0,8.15,2.07,0.0,0.0
7133,20141025:0500,0.0,0.0,0.0,0.0,0.0,8.07,2.14,0.0,0.0
